NAME,          east,   north,   alt,   trk,    gs,    vs,    time
unitless,      [ft],   [ft],   [ft],  [rad],  [ftps],  [ftps], [s]
OWNSHIP, 0.000, 0.000, 2759.320, 0.00, 156.23, 0.00, 0.0
OWNSHIP, 0.000, 15.621, 2759.320, 0.00, 156.23, 0.00, 0.1
OWNSHIP, 0.000, 31.242, 2759.320, 0.00, 156.23, 0.00, 0.2
OWNSHIP, 0.000, 46.863, 2759.320, 0.00, 156.23, 0.00, 0.3
OWNSHIP, 0.000, 62.483, 2759.320, 0.00, 156.23, 0.00, 0.4
OWNSHIP, 0.000, 78.104, 2759.320, 0.00, 156.23, 0.00, 0.5
OWNSHIP, 0.000, 93.725, 2759.320, 0.00, 156.23, 0.00, 0.6
OWNSHIP, 0.000, 109.346, 2759.320, 0.00, 156.23, 0.00, 0.7
OWNSHIP, 0.000, 124.967, 2759.320, 0.00, 156.23, 0.00, 0.8
OWNSHIP, 0.000, 140.588, 2759.320, 0.00, 156.23, 0.00, 0.9
OWNSHIP, 0.000, 156.208, 2759.320, 0.00, 156.23, 0.00, 1.0
OWNSHIP, 0.000, 171.829, 2759.320, 0.00, 156.23, 0.00, 1.1
OWNSHIP, 0.000, 187.450, 2759.320, 0.00, 156.23, 0.00, 1.2
OWNSHIP, 0.000, 203.071, 2759.320, 0.00, 156.23, 0.00, 1.3
OWNSHIP, 0.000, 218.692, 2759.320, 0.00, 156.23, 0.00, 1.4
OWNSHIP, 0.000, 234.313, 2759.320, 0.00, 156.23, 0.00, 1.5
OWNSHIP, 0.000, 249.933, 2759.320, 0.00, 156.23, 0.00, 1.6
OWNSHIP, 0.000, 265.554, 2759.320, 0.00, 156.23, 0.00, 1.7
OWNSHIP, 0.000, 281.175, 2759.320, 0.00, 156.23, 0.00, 1.8
OWNSHIP, 0.000, 296.796, 2759.320, 0.00, 156.23, 0.00, 1.9
OWNSHIP, 0.000, 312.417, 2759.320, 0.00, 156.23, 0.00, 2.0
OWNSHIP, 0.000, 328.038, 2759.320, 0.00, 156.23, 0.00, 2.1
OWNSHIP, 0.000, 343.658, 2759.320, 0.00, 156.23, 0.00, 2.2
OWNSHIP, 0.000, 359.279, 2759.320, 0.00, 156.23, 0.00, 2.3
OWNSHIP, 0.000, 374.900, 2759.320, 0.00, 156.23, 0.00, 2.4
OWNSHIP, 0.000, 390.521, 2759.320, 0.00, 156.23, 0.00, 2.5
OWNSHIP, 0.000, 406.142, 2759.320, 0.00, 156.23, 0.00, 2.6
OWNSHIP, 0.000, 421.763, 2759.320, 0.00, 156.23, 0.00, 2.7
OWNSHIP, 0.000, 437.384, 2759.320, 0.00, 156.23, 0.00, 2.8
OWNSHIP, 0.000, 453.004, 2759.320, 0.00, 156.23, 0.00, 2.9
OWNSHIP, 0.000, 468.625, 2759.320, 0.00, 156.23, 0.00, 3.0
OWNSHIP, 0.000, 484.246, 2759.320, 0.00, 156.23, 0.00, 3.1
