NAME,          east,   north,   alt,   trk,    gs,    vs,    time
unitless,      [ft],   [ft],   [ft],  [rad],  [ftps],  [ftps], [s]
OWNSHIP, 0.000, 0.000, 2487.169, 0.00, 127.72, 0.00, 0.0
OWNSHIP, 0.000, 12.770, 2487.169, 0.00, 127.72, 0.00, 0.1
OWNSHIP, 0.000, 25.540, 2487.169, 0.00, 127.72, 0.00, 0.2
OWNSHIP, 0.000, 38.311, 2487.169, 0.00, 127.72, 0.00, 0.3
OWNSHIP, 0.000, 51.081, 2487.169, 0.00, 127.72, 0.00, 0.4
OWNSHIP, 0.000, 63.851, 2487.169, 0.00, 127.72, 0.00, 0.5
OWNSHIP, 0.000, 76.621, 2487.169, 0.00, 127.72, 0.00, 0.6
OWNSHIP, 0.000, 89.392, 2487.169, 0.00, 127.72, 0.00, 0.7
OWNSHIP, 0.000, 102.162, 2487.169, 0.00, 127.72, 0.00, 0.8
OWNSHIP, 0.000, 114.932, 2487.169, 0.00, 127.72, 0.00, 0.9
OWNSHIP, 0.000, 127.702, 2487.169, 0.00, 127.72, 0.00, 1.0
OWNSHIP, 0.000, 140.472, 2487.169, 0.00, 127.72, 0.00, 1.1
OWNSHIP, 0.000, 153.243, 2487.169, 0.00, 127.72, 0.00, 1.2
OWNSHIP, 0.000, 166.013, 2487.169, 0.00, 127.72, 0.00, 1.3
OWNSHIP, 0.000, 178.783, 2487.169, 0.00, 127.72, 0.00, 1.4
OWNSHIP, 0.000, 191.553, 2487.169, 0.00, 127.72, 0.00, 1.5
OWNSHIP, 0.000, 204.324, 2487.169, 0.00, 127.72, 0.00, 1.6
OWNSHIP, 0.000, 217.094, 2487.169, 0.00, 127.72, 0.00, 1.7
OWNSHIP, 0.000, 229.864, 2487.169, 0.00, 127.72, 0.00, 1.8
OWNSHIP, 0.000, 242.634, 2487.169, 0.00, 127.72, 0.00, 1.9
OWNSHIP, 0.000, 255.405, 2487.169, 0.00, 127.72, 0.00, 2.0
OWNSHIP, 0.000, 268.175, 2487.169, 0.00, 127.72, 0.00, 2.1
OWNSHIP, 0.000, 280.945, 2487.169, 0.00, 127.72, 0.00, 2.2
OWNSHIP, 0.000, 293.715, 2487.169, 0.00, 127.72, 0.00, 2.3
OWNSHIP, 0.000, 306.485, 2487.169, 0.00, 127.72, 0.00, 2.4
OWNSHIP, 0.000, 319.256, 2487.169, 0.00, 127.72, 0.00, 2.5
OWNSHIP, 0.000, 332.026, 2487.169, 0.00, 127.72, 0.00, 2.6
OWNSHIP, 0.000, 344.796, 2487.169, 0.00, 127.72, 0.00, 2.7
OWNSHIP, 0.000, 357.566, 2487.169, 0.00, 127.72, 0.00, 2.8
OWNSHIP, 0.000, 370.337, 2487.169, 0.00, 127.72, 0.00, 2.9
