NAME,          east,   north,   alt,   trk,    gs,    vs,    time
unitless,      [ft],   [ft],   [ft],  [rad],  [ftps],  [ftps], [s]
OWNSHIP, 0.000, 0.000, 1635.609, 0.16, 167.33, 0.00, 0.0
OWNSHIP, 2.661, 16.519, 1635.609, 0.16, 167.33, 0.00, 0.1
OWNSHIP, 5.323, 33.038, 1635.609, 0.16, 167.33, 0.00, 0.2
OWNSHIP, 7.984, 49.558, 1635.609, 0.16, 167.33, 0.00, 0.3
OWNSHIP, 10.646, 66.077, 1635.609, 0.16, 167.33, 0.00, 0.4
OWNSHIP, 13.307, 82.596, 1635.609, 0.16, 167.33, 0.00, 0.5
OWNSHIP, 15.968, 99.115, 1635.609, 0.16, 167.33, 0.00, 0.6
OWNSHIP, 18.630, 115.634, 1635.609, 0.16, 167.33, 0.00, 0.7
OWNSHIP, 21.291, 132.153, 1635.609, 0.16, 167.33, 0.00, 0.8
OWNSHIP, 23.952, 148.673, 1635.609, 0.16, 167.33, 0.00, 0.9
OWNSHIP, 26.614, 165.192, 1635.609, 0.16, 167.33, 0.00, 1.0
OWNSHIP, 29.275, 181.711, 1635.609, 0.16, 167.33, 0.00, 1.1
OWNSHIP, 31.937, 198.230, 1635.609, 0.16, 167.33, 0.00, 1.2
OWNSHIP, 34.598, 214.749, 1635.609, 0.16, 167.33, 0.00, 1.3
OWNSHIP, 37.259, 231.268, 1635.609, 0.16, 167.33, 0.00, 1.4
OWNSHIP, 39.921, 247.788, 1635.609, 0.16, 167.33, 0.00, 1.5
OWNSHIP, 42.582, 264.307, 1635.609, 0.16, 167.33, 0.00, 1.6
OWNSHIP, 45.244, 280.826, 1635.609, 0.16, 167.33, 0.00, 1.7
OWNSHIP, 47.905, 297.345, 1635.609, 0.16, 167.33, 0.00, 1.8
OWNSHIP, 50.566, 313.864, 1635.609, 0.16, 167.33, 0.00, 1.9
OWNSHIP, 53.228, 330.383, 1635.609, 0.16, 167.33, 0.00, 2.0
OWNSHIP, 55.889, 346.903, 1635.609, 0.16, 167.33, 0.00, 2.1
OWNSHIP, 58.550, 363.422, 1635.609, 0.16, 167.33, 0.00, 2.2
OWNSHIP, 61.212, 379.941, 1635.609, 0.16, 167.33, 0.00, 2.3
OWNSHIP, 63.873, 396.460, 1635.609, 0.16, 167.33, 0.00, 2.4
OWNSHIP, 66.535, 412.979, 1635.609, 0.16, 167.33, 0.00, 2.5
OWNSHIP, 69.196, 429.498, 1635.609, 0.16, 167.33, 0.00, 2.6
OWNSHIP, 71.857, 446.018, 1635.609, 0.16, 167.33, 0.00, 2.7
OWNSHIP, 74.519, 462.537, 1635.609, 0.16, 167.33, 0.00, 2.8
OWNSHIP, 77.180, 479.056, 1635.609, 0.16, 167.33, 0.00, 2.9
OWNSHIP, 79.841, 495.575, 1635.609, 0.16, 167.33, 0.00, 3.0
OWNSHIP, 82.503, 512.094, 1635.609, 0.16, 167.33, 0.00, 3.1
OWNSHIP, 85.164, 528.613, 1635.609, 0.16, 167.33, 0.00, 3.2
OWNSHIP, 87.826, 545.133, 1635.609, 0.16, 167.33, 0.00, 3.3
OWNSHIP, 90.487, 561.652, 1635.609, 0.16, 167.33, 0.00, 3.4
OWNSHIP, 93.148, 578.171, 1635.609, 0.16, 167.33, 0.00, 3.5
OWNSHIP, 95.810, 594.690, 1635.609, 0.16, 167.33, 0.00, 3.6
OWNSHIP, 98.471, 611.209, 1635.609, 0.16, 167.33, 0.00, 3.7
OWNSHIP, 101.133, 627.728, 1635.609, 0.16, 167.33, 0.00, 3.8
OWNSHIP, 103.794, 644.248, 1635.609, 0.16, 167.33, 0.00, 3.9
OWNSHIP, 106.455, 660.767, 1635.609, 0.16, 167.33, 0.00, 4.0
OWNSHIP, 109.117, 677.286, 1635.609, 0.16, 167.33, 0.00, 4.1
OWNSHIP, 111.778, 693.805, 1635.609, 0.16, 167.33, 0.00, 4.2
OWNSHIP, 114.439, 710.324, 1635.609, 0.16, 167.33, 0.00, 4.3
OWNSHIP, 117.101, 726.844, 1635.609, 0.16, 167.33, 0.00, 4.4
OWNSHIP, 119.762, 743.363, 1635.609, 0.16, 167.33, 0.00, 4.5
OWNSHIP, 122.424, 759.882, 1635.609, 0.16, 167.33, 0.00, 4.6
OWNSHIP, 125.085, 776.401, 1635.609, 0.16, 167.33, 0.00, 4.7
OWNSHIP, 127.746, 792.920, 1635.609, 0.16, 167.33, 0.00, 4.8
OWNSHIP, 130.408, 809.439, 1635.609, 0.16, 167.33, 0.00, 4.9
OWNSHIP, 133.069, 825.959, 1635.609, 0.16, 167.33, 0.00, 5.0
OWNSHIP, 135.731, 842.478, 1635.609, 0.16, 167.33, 0.00, 5.1
OWNSHIP, 138.392, 858.997, 1635.609, 0.16, 167.33, 0.00, 5.2
OWNSHIP, 141.053, 875.516, 1635.609, 0.16, 167.33, 0.00, 5.3
OWNSHIP, 143.715, 892.035, 1635.609, 0.16, 167.33, 0.00, 5.4
OWNSHIP, 146.376, 908.554, 1635.609, 0.16, 167.33, 0.00, 5.5
OWNSHIP, 149.037, 925.074, 1635.609, 0.16, 167.33, 0.00, 5.6
OWNSHIP, 151.699, 941.593, 1635.609, 0.16, 167.33, 0.00, 5.7
OWNSHIP, 154.360, 958.112, 1635.609, 0.16, 167.33, 0.00, 5.8
OWNSHIP, 157.022, 974.631, 1635.609, 0.16, 167.33, 0.00, 5.9
OWNSHIP, 159.683, 991.150, 1635.609, 0.16, 167.33, 0.00, 6.0
OWNSHIP, 162.344, 1007.669, 1635.609, 0.16, 167.33, 0.00, 6.1
OWNSHIP, 165.006, 1024.189, 1635.609, 0.16, 167.33, 0.00, 6.2
OWNSHIP, 167.667, 1040.708, 1635.609, 0.16, 167.33, 0.00, 6.3
OWNSHIP, 170.329, 1057.227, 1635.609, 0.16, 167.33, 0.00, 6.4
OWNSHIP, 172.990, 1073.746, 1635.609, 0.16, 167.33, 0.00, 6.5
OWNSHIP, 175.651, 1090.265, 1635.609, 0.16, 167.33, 0.00, 6.6
OWNSHIP, 178.313, 1106.784, 1635.609, 0.16, 167.33, 0.00, 6.7
OWNSHIP, 180.974, 1123.304, 1635.609, 0.16, 167.33, 0.00, 6.8
OWNSHIP, 183.635, 1139.823, 1635.609, 0.16, 167.33, 0.00, 6.9
OWNSHIP, 186.297, 1156.342, 1635.609, 0.16, 167.33, 0.00, 7.0
OWNSHIP, 188.958, 1172.861, 1635.609, 0.16, 167.33, 0.00, 7.1
OWNSHIP, 191.620, 1189.380, 1635.609, 0.16, 167.33, 0.00, 7.2
OWNSHIP, 194.281, 1205.899, 1635.609, 0.16, 167.33, 0.00, 7.3
OWNSHIP, 196.942, 1222.419, 1635.609, 0.16, 167.33, 0.00, 7.4
OWNSHIP, 199.604, 1238.938, 1635.609, 0.16, 167.33, 0.00, 7.5
OWNSHIP, 202.265, 1255.457, 1635.609, 0.16, 167.33, 0.00, 7.6
