NAME,          east,   north,   alt,   trk,    gs,    vs,    time
unitless,      [ft],   [ft],   [ft],  [rad],  [ftps],  [ftps], [s]
OWNSHIP, 0.000, 0.000, 1346.738, 2.23, 142.95, 0.00, 0.0
OWNSHIP, 11.260, -8.805, 1346.738, 2.23, 142.95, 0.00, 0.1
OWNSHIP, 22.520, -17.611, 1346.738, 2.23, 142.95, 0.00, 0.2
OWNSHIP, 33.779, -26.416, 1346.738, 2.23, 142.95, 0.00, 0.3
OWNSHIP, 45.039, -35.222, 1346.738, 2.23, 142.95, 0.00, 0.4
OWNSHIP, 56.299, -44.027, 1346.738, 2.23, 142.95, 0.00, 0.5
OWNSHIP, 67.559, -52.833, 1346.738, 2.23, 142.95, 0.00, 0.6
OWNSHIP, 78.819, -61.638, 1346.738, 2.23, 142.95, 0.00, 0.7
OWNSHIP, 90.078, -70.444, 1346.738, 2.23, 142.95, 0.00, 0.8
OWNSHIP, 101.338, -79.249, 1346.738, 2.23, 142.95, 0.00, 0.9
OWNSHIP, 112.598, -88.055, 1346.738, 2.23, 142.95, 0.00, 1.0
OWNSHIP, 123.858, -96.860, 1346.738, 2.23, 142.95, 0.00, 1.1
OWNSHIP, 135.118, -105.666, 1346.738, 2.23, 142.95, 0.00, 1.2
OWNSHIP, 146.377, -114.471, 1346.738, 2.23, 142.95, 0.00, 1.3
OWNSHIP, 157.637, -123.276, 1346.738, 2.23, 142.95, 0.00, 1.4
OWNSHIP, 168.897, -132.082, 1346.738, 2.23, 142.95, 0.00, 1.5
OWNSHIP, 180.157, -140.887, 1346.738, 2.23, 142.95, 0.00, 1.6
OWNSHIP, 191.417, -149.693, 1346.738, 2.23, 142.95, 0.00, 1.7
OWNSHIP, 202.676, -158.498, 1346.738, 2.23, 142.95, 0.00, 1.8
OWNSHIP, 213.936, -167.304, 1346.738, 2.23, 142.95, 0.00, 1.9
OWNSHIP, 225.196, -176.109, 1346.738, 2.23, 142.95, 0.00, 2.0
OWNSHIP, 236.456, -184.915, 1346.738, 2.23, 142.95, 0.00, 2.1
OWNSHIP, 247.716, -193.720, 1346.738, 2.23, 142.95, 0.00, 2.2
OWNSHIP, 258.975, -202.526, 1346.738, 2.23, 142.95, 0.00, 2.3
OWNSHIP, 270.235, -211.331, 1346.738, 2.23, 142.95, 0.00, 2.4
OWNSHIP, 281.495, -220.137, 1346.738, 2.23, 142.95, 0.00, 2.5
OWNSHIP, 292.755, -228.942, 1346.738, 2.23, 142.95, 0.00, 2.6
OWNSHIP, 304.015, -237.748, 1346.738, 2.23, 142.95, 0.00, 2.7
OWNSHIP, 315.274, -246.553, 1346.738, 2.23, 142.95, 0.00, 2.8
OWNSHIP, 326.534, -255.358, 1346.738, 2.23, 142.95, 0.00, 2.9
OWNSHIP, 337.794, -264.164, 1346.738, 2.23, 142.95, 0.00, 3.0
OWNSHIP, 349.054, -272.969, 1346.738, 2.23, 142.95, 0.00, 3.1
OWNSHIP, 360.314, -281.775, 1346.738, 2.23, 142.95, 0.00, 3.2
OWNSHIP, 371.573, -290.580, 1346.738, 2.23, 142.95, 0.00, 3.3
OWNSHIP, 382.833, -299.386, 1346.738, 2.23, 142.95, 0.00, 3.4
OWNSHIP, 394.093, -308.191, 1346.738, 2.23, 142.95, 0.00, 3.5
OWNSHIP, 405.353, -316.997, 1346.738, 2.23, 142.95, 0.00, 3.6
OWNSHIP, 416.612, -325.802, 1346.738, 2.23, 142.95, 0.00, 3.7
OWNSHIP, 427.872, -334.608, 1346.738, 2.23, 142.95, 0.00, 3.8
OWNSHIP, 439.132, -343.413, 1346.738, 2.23, 142.95, 0.00, 3.9
OWNSHIP, 450.392, -352.219, 1346.738, 2.23, 142.95, 0.00, 4.0
OWNSHIP, 461.652, -361.024, 1346.738, 2.23, 142.95, 0.00, 4.1
OWNSHIP, 472.911, -369.829, 1346.738, 2.23, 142.95, 0.00, 4.2
OWNSHIP, 484.171, -378.635, 1346.738, 2.23, 142.95, 0.00, 4.3
OWNSHIP, 495.431, -387.440, 1346.738, 2.23, 142.95, 0.00, 4.4
OWNSHIP, 506.691, -396.246, 1346.738, 2.23, 142.95, 0.00, 4.5
OWNSHIP, 517.951, -405.051, 1346.738, 2.23, 142.95, 0.00, 4.6
OWNSHIP, 529.210, -413.857, 1346.738, 2.23, 142.95, 0.00, 4.7
OWNSHIP, 540.470, -422.662, 1346.738, 2.23, 142.95, 0.00, 4.8
OWNSHIP, 551.730, -431.468, 1346.738, 2.23, 142.95, 0.00, 4.9
OWNSHIP, 562.990, -440.273, 1346.738, 2.23, 142.95, 0.00, 5.0
OWNSHIP, 574.250, -449.079, 1346.738, 2.23, 142.95, 0.00, 5.1
OWNSHIP, 585.509, -457.884, 1346.738, 2.23, 142.95, 0.00, 5.2
OWNSHIP, 596.769, -466.690, 1346.738, 2.23, 142.95, 0.00, 5.3
OWNSHIP, 608.029, -475.495, 1346.738, 2.23, 142.95, 0.00, 5.4
OWNSHIP, 619.289, -484.300, 1346.738, 2.23, 142.95, 0.00, 5.5
OWNSHIP, 630.549, -493.106, 1346.738, 2.23, 142.95, 0.00, 5.6
OWNSHIP, 641.808, -501.911, 1346.738, 2.23, 142.95, 0.00, 5.7
OWNSHIP, 653.068, -510.717, 1346.738, 2.23, 142.95, 0.00, 5.8
OWNSHIP, 664.328, -519.522, 1346.738, 2.23, 142.95, 0.00, 5.9
OWNSHIP, 675.588, -528.328, 1346.738, 2.23, 142.95, 0.00, 6.0
OWNSHIP, 686.848, -537.133, 1346.738, 2.23, 142.95, 0.00, 6.1
OWNSHIP, 698.107, -545.939, 1346.738, 2.23, 142.95, 0.00, 6.2
OWNSHIP, 709.367, -554.744, 1346.738, 2.23, 142.95, 0.00, 6.3
OWNSHIP, 720.627, -563.550, 1346.738, 2.23, 142.95, 0.00, 6.4
OWNSHIP, 731.887, -572.355, 1346.738, 2.23, 142.95, 0.00, 6.5
OWNSHIP, 743.147, -581.161, 1346.738, 2.23, 142.95, 0.00, 6.6
OWNSHIP, 754.406, -589.966, 1346.738, 2.23, 142.95, 0.00, 6.7
OWNSHIP, 765.666, -598.772, 1346.738, 2.23, 142.95, 0.00, 6.8
OWNSHIP, 776.926, -607.577, 1346.738, 2.23, 142.95, 0.00, 6.9
OWNSHIP, 788.186, -616.382, 1346.738, 2.23, 142.95, 0.00, 7.0
OWNSHIP, 799.446, -625.188, 1346.738, 2.23, 142.95, 0.00, 7.1
OWNSHIP, 810.705, -633.993, 1346.738, 2.23, 142.95, 0.00, 7.2
OWNSHIP, 821.965, -642.799, 1346.738, 2.23, 142.95, 0.00, 7.3
OWNSHIP, 833.225, -651.604, 1346.738, 2.23, 142.95, 0.00, 7.4
OWNSHIP, 844.485, -660.410, 1346.738, 2.23, 142.95, 0.00, 7.5
OWNSHIP, 855.745, -669.215, 1346.738, 2.23, 142.95, 0.00, 7.6
OWNSHIP, 867.004, -678.021, 1346.738, 2.23, 142.95, 0.00, 7.7
OWNSHIP, 878.264, -686.826, 1346.738, 2.23, 142.95, 0.00, 7.8
OWNSHIP, 889.524, -695.632, 1346.738, 2.23, 142.95, 0.00, 7.9
OWNSHIP, 900.784, -704.437, 1346.738, 2.23, 142.95, 0.00, 8.0
OWNSHIP, 912.044, -713.243, 1346.738, 2.23, 142.95, 0.00, 8.1
OWNSHIP, 923.303, -722.048, 1346.738, 2.23, 142.95, 0.00, 8.2
OWNSHIP, 934.563, -730.853, 1346.738, 2.23, 142.95, 0.00, 8.3
OWNSHIP, 945.823, -739.659, 1346.738, 2.23, 142.95, 0.00, 8.4
OWNSHIP, 957.083, -748.464, 1346.738, 2.23, 142.95, 0.00, 8.5
OWNSHIP, 968.343, -757.270, 1346.738, 2.23, 142.95, 0.00, 8.6
OWNSHIP, 979.602, -766.075, 1346.738, 2.23, 142.95, 0.00, 8.7
OWNSHIP, 990.862, -774.881, 1346.738, 2.23, 142.95, 0.00, 8.8
OWNSHIP, 1002.122, -783.686, 1346.738, 2.23, 142.95, 0.00, 8.9
OWNSHIP, 1013.382, -792.492, 1346.738, 2.23, 142.95, 0.00, 9.0
OWNSHIP, 1024.642, -801.297, 1346.738, 2.23, 142.95, 0.00, 9.1
OWNSHIP, 1035.901, -810.103, 1346.738, 2.23, 142.95, 0.00, 9.2
OWNSHIP, 1047.161, -818.908, 1346.738, 2.23, 142.95, 0.00, 9.3
OWNSHIP, 1058.421, -827.714, 1346.738, 2.23, 142.95, 0.00, 9.4
OWNSHIP, 1069.681, -836.519, 1346.738, 2.23, 142.95, 0.00, 9.5
OWNSHIP, 1080.941, -845.324, 1346.738, 2.23, 142.95, 0.00, 9.6
OWNSHIP, 1092.200, -854.130, 1346.738, 2.23, 142.95, 0.00, 9.7
OWNSHIP, 1103.460, -862.935, 1346.738, 2.23, 142.95, 0.00, 9.8
OWNSHIP, 1114.720, -871.741, 1346.738, 2.23, 142.95, 0.00, 9.9
OWNSHIP, 1125.980, -880.546, 1346.738, 2.23, 142.95, 0.00, 10.0
OWNSHIP, 1137.239, -889.352, 1346.738, 2.23, 142.95, 0.00, 10.1
OWNSHIP, 1148.499, -898.157, 1346.738, 2.23, 142.95, 0.00, 10.2
OWNSHIP, 1159.759, -906.963, 1346.738, 2.23, 142.95, 0.00, 10.3
OWNSHIP, 1171.019, -915.768, 1346.738, 2.23, 142.95, 0.00, 10.4
OWNSHIP, 1182.279, -924.574, 1346.738, 2.23, 142.95, 0.00, 10.5
OWNSHIP, 1193.538, -933.379, 1346.738, 2.23, 142.95, 0.00, 10.6
OWNSHIP, 1204.798, -942.185, 1346.738, 2.23, 142.95, 0.00, 10.7
OWNSHIP, 1216.058, -950.990, 1346.738, 2.23, 142.95, 0.00, 10.8
OWNSHIP, 1227.318, -959.796, 1346.738, 2.23, 142.95, 0.00, 10.9
OWNSHIP, 1238.578, -968.601, 1346.738, 2.23, 142.95, 0.00, 11.0
OWNSHIP, 1249.837, -977.406, 1346.738, 2.23, 142.95, 0.00, 11.1
OWNSHIP, 1261.097, -986.212, 1346.738, 2.23, 142.95, 0.00, 11.2
OWNSHIP, 1272.357, -995.017, 1346.738, 2.23, 142.95, 0.00, 11.3
OWNSHIP, 1283.617, -1003.823, 1346.738, 2.23, 142.95, 0.00, 11.4
OWNSHIP, 1294.877, -1012.628, 1346.738, 2.23, 142.95, 0.00, 11.5
OWNSHIP, 1306.136, -1021.434, 1346.738, 2.23, 142.95, 0.00, 11.6
OWNSHIP, 1317.396, -1030.239, 1346.738, 2.23, 142.95, 0.00, 11.7
OWNSHIP, 1328.656, -1039.045, 1346.738, 2.23, 142.95, 0.00, 11.8
OWNSHIP, 1339.916, -1047.850, 1346.738, 2.23, 142.95, 0.00, 11.9
OWNSHIP, 1351.176, -1056.656, 1346.738, 2.23, 142.95, 0.00, 12.0
OWNSHIP, 1362.435, -1065.461, 1346.738, 2.23, 142.95, 0.00, 12.1
OWNSHIP, 1373.695, -1074.267, 1346.738, 2.23, 142.95, 0.00, 12.2
OWNSHIP, 1384.955, -1083.072, 1346.738, 2.23, 142.95, 0.00, 12.3
OWNSHIP, 1396.215, -1091.877, 1346.738, 2.23, 142.95, 0.00, 12.4
OWNSHIP, 1407.475, -1100.683, 1346.738, 2.23, 142.95, 0.00, 12.5
OWNSHIP, 1418.734, -1109.488, 1346.738, 2.23, 142.95, 0.00, 12.6
OWNSHIP, 1429.994, -1118.294, 1346.738, 2.23, 142.95, 0.00, 12.7
OWNSHIP, 1441.254, -1127.099, 1346.738, 2.23, 142.95, 0.00, 12.8
OWNSHIP, 1452.514, -1135.905, 1346.738, 2.23, 142.95, 0.00, 12.9
OWNSHIP, 1463.774, -1144.710, 1346.738, 2.23, 142.95, 0.00, 13.0
OWNSHIP, 1475.033, -1153.516, 1346.738, 2.23, 142.95, 0.00, 13.1
OWNSHIP, 1486.293, -1162.321, 1346.738, 2.23, 142.95, 0.00, 13.2
OWNSHIP, 1497.553, -1171.127, 1346.738, 2.23, 142.95, 0.00, 13.3
OWNSHIP, 1508.813, -1179.932, 1346.738, 2.23, 142.95, 0.00, 13.4
OWNSHIP, 1520.073, -1188.738, 1346.738, 2.23, 142.95, 0.00, 13.5
OWNSHIP, 1531.332, -1197.543, 1346.738, 2.23, 142.95, 0.00, 13.6
OWNSHIP, 1542.592, -1206.349, 1346.738, 2.23, 142.95, 0.00, 13.7
OWNSHIP, 1553.852, -1215.154, 1346.738, 2.23, 142.95, 0.00, 13.8
OWNSHIP, 1565.112, -1223.959, 1346.738, 2.23, 142.95, 0.00, 13.9
OWNSHIP, 1576.372, -1232.765, 1346.738, 2.23, 142.95, 0.00, 14.0
OWNSHIP, 1587.631, -1241.570, 1346.738, 2.23, 142.95, 0.00, 14.1
OWNSHIP, 1598.891, -1250.376, 1346.738, 2.23, 142.95, 0.00, 14.2
OWNSHIP, 1610.151, -1259.181, 1346.738, 2.23, 142.95, 0.00, 14.3
OWNSHIP, 1621.411, -1267.987, 1346.738, 2.23, 142.95, 0.00, 14.4
OWNSHIP, 1632.671, -1276.792, 1346.738, 2.23, 142.95, 0.00, 14.5
OWNSHIP, 1643.930, -1285.598, 1346.738, 2.23, 142.95, 0.00, 14.6
OWNSHIP, 1655.190, -1294.403, 1346.738, 2.23, 142.95, 0.00, 14.7
OWNSHIP, 1666.450, -1303.209, 1346.738, 2.23, 142.95, 0.00, 14.8
OWNSHIP, 1677.710, -1312.014, 1346.738, 2.23, 142.95, 0.00, 14.9
OWNSHIP, 1688.970, -1320.820, 1346.738, 2.23, 142.95, 0.00, 15.0
