ID,Time,lat,lon,alt_AGL_ft,speed_kts,heading_deg,dh_fpm,alt_MSL_ft
57,0,0,0,2421.34953775301,47.0748530261891,0,0,2421.34953775257
57,1,0.000220861904684012,4.01682693449422e-06,2421.34953775301,47.9940318829192,2.32210926646679,0,2421.34969225153
57,2,0.000445647039101299,1.7166346405404e-05,2421.34953775301,48.9132107396494,4.64354432900914,0,2421.35016749799
57,3,0.000674082081665289,3.86610879885803e-05,2421.34953775301,49.8323895963795,6.32773941047587,-2.18855120594743e-16,2421.3509811908
57,4,0.000906033407287445,6.72779347202355e-05,2421.34953775301,50.7515684531096,7.99429520193937,0,2421.35215128586
57,5,0.00114127487564894,0.000103228991973242,2421.34953775301,51.6707473098397,9.66085184259557,0,2421.35369569808
57,6,0.00137956966544345,0.000146728018660143,2421.34953775301,52.5899261665699,11.3274093526704,-2.30965737876024e-16,2421.35563229769
57,7,0.00162067123893493,0.000197981192878165,2421.34953775301,53.5091050233,12.9939677472448,0,2421.35797891393
57,8,0.00186432358851908,0.000257186731912227,2421.34953775301,54.4282838800301,14.6605270413797,0,2421.36075330526
57,9,0.00211026149729863,0.000324534520158723,2421.34953775301,55.3474627367603,16.3270872501156,0,2421.36397312954
57,10,0.0023582108134151,0.000400205745455058,2421.34953775301,56.2666415934904,17.9936483884723,-2.47113227584399e-16,2421.36765592918
57,11,0.00260788873786289,0.000484372544294358,2421.34953775301,57.1858204502205,19.6602104714482,0,2421.37181907892
57,12,0.00285900412549483,0.000577197656395945,2421.34953775301,58.1049993069507,21.3267735140206,0,2421.37647978589
57,13,0.00311125779891264,0.000678834089092841,2421.34953775301,59.0241781636808,22.9933375311449,-2.59223844865679e-16,2421.3816550374
57,14,0.0033643428749194,0.000789424791987652,2421.34953775301,59.9433570204109,24.6599025377543,2.63260717292773e-16,2421.38736160472
57,15,0.00361794510319612,0.000909102342317825,2421.34953775301,60.862535877141,26.3264685487599,-2.67297589719867e-16,2421.3936159797
